mid,publish_time,user_name,user_link,content,weibo_link,forward_num,comment_num,like_num
4820613044376838,2022-10-03 22:26:15,大大怪阿胖,https://weibo.com/u/6170164752,//@eeee01:幕强，站强者，恍惚以为自己也是强者。,https://weibo.com/6170164752/M8EeQimCa,0,0,0
4820391413156145,2022-10-03 07:45:34,喵喵喵柏,https://weibo.com/u/5401130744,[作揖]//@liu_runda:如果认为法律底线和道德上限之间都是人选择的自由，那么也得接受其他人对其选择的评价自由。//@李清晨:为什么那么多人攻击那个报警的男生？不细看我还以为是男生报警导致右边被警察带走了呢//@_恶魔奶爸_:飞黄腾达？你觉得刘强东能在乎这种杂碎？,https://weibo.com/5401130744/M8ytndf3z,0,0,0
4820239910438099,2022-10-02 21:43:32,故湘云,https://weibo.com/u/1866050504,//@李清晨:为什么那么多人攻击那个报警的男生？不细看我还以为是男生报警导致右边被警察带走了呢//@_恶魔奶爸_:飞黄腾达？你觉得刘强东能在乎这种杂碎？//@_恶魔奶爸_:全场最大输家，男生TAO，小年轻没钱没势建议还是好好苦读认真充实自己没事不要瞎社交更不要当舔狗…,https://weibo.com/1866050504/M8ux11PY7,0,0,0
4820229789844749,2022-10-02 21:03:19,57神针大青虫,https://weibo.com/u/7007752526,//@李清晨:为什么那么多人攻击那个报警的男生？不细看我还以为是男生报警导致右边被警察带走了呢//@_恶魔奶爸_:飞黄腾达？你觉得刘强东能在乎这种杂碎？//@_恶魔奶爸_:全场最大输家，男生TAO，小年轻没钱没势建议还是好好苦读认真充实自己没事不要瞎社交更不要当舔狗…,https://weibo.com/7007752526/M8ugGFj4h,0,0,0
4820182532364194,2022-10-02 17:55:33,昀这个字怎么念,https://weibo.com/u/7360455791,//@李清晨:为什么那么多人攻击那个报警的男生？不细看我还以为是男生报警导致右边被警察带走了呢//@_恶魔奶爸_:飞黄腾达？你觉得刘强东能在乎这种杂碎？//@_恶魔奶爸_:全场最大输家，男生TAO，小年轻没钱没势建议还是好好苦读认真充实自己没事不要瞎社交更不要当舔狗…,https://weibo.com/7360455791/M8t2t9V2a,0,0,0
4820179936347143,2022-10-02 17:45:13,乾坤兔子,https://weibo.com/u/6213287974,真的是踩狗尾巴了，嗷嗷叫//@李清晨:为什么那么多人攻击那个报警的男生？不细看我还以为是男生报警导致右边被警察带走了呢//@_恶魔奶爸_:飞黄腾达？你觉得刘强东能在乎这种杂碎？//@_恶魔奶爸_:全场最大输家，男生TAO，小年轻没钱没势建议还是好好苦读认真充实自己没事不要瞎社交更不要当舔狗…,https://weibo.com/6213287974/M8sYhqDbh,0,0,0
4820179487293997,2022-10-02 17:43:26,紫金山下马坊,https://weibo.com/u/6476190255,最右应该是想当强子的冈本吧[允悲]//@李清晨:为什么那么多人攻击那个报警的男生？不细看我还以为是男生报警导致右边被警察带走了呢//@_恶魔奶爸_:飞黄腾达？你觉得刘强东能在乎这种杂碎？//@_恶魔奶爸_:全场最大输家，男生TAO，小年轻没钱没势建议还是好好苦读认真充实自,https://weibo.com/6476190255/M8sXyuBv7,0,0,0
4820178578181799,2022-10-02 17:39:50,欧藜萱萱,https://weibo.com/u/5031099244,[good]//@李清晨:为什么那么多人攻击那个报警的男生？不细看我还以为是男生报警导致右边被警察带走了呢//@_恶魔奶爸_:飞黄腾达？你觉得刘强东能在乎这种杂碎？//@_恶魔奶爸_:全场最大输家，男生TAO，小年轻没钱没势建议还是好好苦读认真充实自己没事不要瞎社交更不要当舔狗…,https://weibo.com/5031099244/M8sW5yksv,1,0,0
4820170428122804,2022-10-02 17:07:27,J先生的分身,https://weibo.com/u/7478660234,//@阿川V_:笑死，李医生好会说//@李清晨:为什么那么多人攻击那个报警的男生？不细看我还以为是男生报警导致右边被警察带走了呢//@_恶魔奶爸_:飞黄腾达？你觉得刘强东能在乎这种杂碎？//@_恶魔奶爸_:全场最大输家，男生TAO，小年轻没钱没势建议还是好好苦读认真充实自己没事不要瞎社交更不要当舔狗…,https://weibo.com/7478660234/M8sIWy56Y,0,0,0
4820165780834529,2022-10-02 16:48:59,烟囱街米莉亚姆,https://weibo.com/u/1942736821,//@李清晨:为什么那么多人攻击那个报警的男生？不细看我还以为是男生报警导致右边被警察带走了呢//@_恶魔奶爸_:飞黄腾达？你觉得刘强东能在乎这种杂碎？//@_恶魔奶爸_:全场最大输家，男生TAO，小年轻没钱没势建议还是好好苦读认真充实自己没事不要瞎社交更不要当舔狗…,https://weibo.com/1942736821/M8sBs3v69,0,0,0
4820165390504146,2022-10-02 16:47:26,千山暮雪的雪,https://weibo.com/u/2166490047,最右就是个精致的利己主义，人不为己天诛地灭的那种//@李清晨:为什么那么多人攻击那个报警的男生？不细看我还以为是男生报警导致右边被警察带走了呢//@_恶魔奶爸_:飞黄腾达？你觉得刘强东能在乎这种杂碎？,https://weibo.com/2166490047/M8sAP279o,0,0,0
4820165184717681,2022-10-02 16:46:36,千山暮雪的雪,https://weibo.com/u/2166490047,右边就是个精致的利己主义，人不为己天诛地灭的那种//@李清晨:为什么那么多人攻击那个报警的男生？不细看我还以为是男生报警导致右边被警察带走了呢//@_恶魔奶爸_:飞黄腾达？你觉得刘强东能在乎这种杂碎？,https://weibo.com/2166490047/M8sAujNhD,0,0,0
